OBJECTID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,RPL_THEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,CALIFORNIA,CA,6037,Los Angeles,6037108201,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6,CALIFORNIA,CA,6037,Los Angeles,6037111204,0.0552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,6,CALIFORNIA,CA,6037,Los Angeles,6037273600,0.0554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,6,CALIFORNIA,CA,6037,Los Angeles,6037311400,0.0555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,6,CALIFORNIA,CA,6037,Los Angeles,6037141600,0.0557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,6,CALIFORNIA,CA,6037,Los Angeles,6037262303,0.0579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,6,CALIFORNIA,CA,6037,Los Angeles,6037701601,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6,CALIFORNIA,CA,6037,Los Angeles,6037106643,0.0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,6,CALIFORNIA,CA,6037,Los Angeles,6037276400,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,6,CALIFORNIA,CA,6037,Los Angeles,6037277000,0.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,6,CALIFORNIA,CA,6037,Los Angeles,6037920303,0.0639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,6,CALIFORNIA,CA,6037,Los Angeles,6037800102,0.0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,6,CALIFORNIA,CA,6037,Los Angeles,6037215102,0.0673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,6,CALIFORNIA,CA,6037,Los Angeles,6037273700,0.0681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,6,CALIFORNIA,CA,6037,Los Angeles,6037139402,0.0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,6,CALIFORNIA,CA,6037,Los Angeles,6037141500,0.0745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,6,CALIFORNIA,CA,6037,Los Angeles,6037264102,0.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,6,CALIFORNIA,CA,6037,Los Angeles,6037188201,0.0759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,CALIFORNIA,CA,6037,Los Angeles,6037103300,0.0767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,6,CALIFORNIA,CA,6037,Los Angeles,6037192300,0.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,6,CALIFORNIA,CA,6037,Los Angeles,6037194101,0.0782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,6,CALIFORNIA,CA,6037,Los Angeles,6037195201,0.0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,CALIFORNIA,CA,6037,Los Angeles,6037113102,0.0786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,6,CALIFORNIA,CA,6111,Ventura,6111007511,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,6,CALIFORNIA,CA,6037,Los Angeles,6037463800,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,6,CALIFORNIA,CA,6037,Los Angeles,6037480702,0.0827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,6,CALIFORNIA,CA,6037,Los Angeles,6037700501,0.0831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,6,CALIFORNIA,CA,6037,Los Angeles,6037264302,0.0835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,CALIFORNIA,CA,6037,Los Angeles,6037101122,0.0839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,6,CALIFORNIA,CA,6037,Los Angeles,6037273100,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
